Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
115   Cole Anthony              ORL        37.02182158     4     30.4  15.5  41.5/35.0/73.3       14.9 
116   Josh Giddey               OKC        36.91956982     10    30.0  14.7  47.1/34.4/66.7       14.1 
117   Jarrett Allen             CLE        36.67594505     12    32.5  14.0  55.6/0.0/76.9        11.8 
118   Goran Dragic              CHI        36.60695675     14    19.3  10.1  45.7/46.8/76.5       8.8  
119   Malik Monk                SAC        36.42584459     12    21.8  11.8  41.1/36.4/92.9       10.4 
120   Onyeka Okongwu            ATL        36.09393927     12    20.0  8.3   67.2/0.0/66.7        6.1  
121   Bobby Portis              MIL        36.08487551     12    26.7  13.3  44.8/34.8/80.0       12.7 
122   DeAndre Jordan            DEN        35.96225148     11    13.4  5.5   80.6/100.0/52.9      3.5  
123   CJ McCollum               NOP        35.82149907     13    35.9  17.8  39.1/27.9/78.6       19.3 
124   Jeremiah Robinson-Earl    OKC        35.40468536     12    18.3  8.3   51.4/43.6/63.6       6.6  
125   Doug McDermott            SAS        35.32301379     13    21.1  10.0  44.9/41.3/66.7       8.6  
126   Keegan Murray             SAC        35.2351892      11    32.0  12.7  45.7/38.6/77.8       10.9 
127   Kenyon Martin Jr.         HOU        35.11951755     13    25.5  11.2  51.4/34.0/66.7       9.2  
128   Trey Murphy III           NOP        34.87770248     13    28.6  11.5  46.7/39.4/95.5       9.0  
129   Luke Kennard              LAC        34.83892207     12    22.3  8.3   51.4/47.7/100.0      6.3  
130   D'Angelo Russell          MIN        34.73539478     14    30.1  14.4  41.1/32.9/73.8       13.8 
131   Malachi Flynn             TOR        34.7271271      8     10.0  5.6   42.9/47.4/85.7       4.8  
132   Jaylen Nowell             MIN        34.71354636     14    18.1  10.9  41.7/30.9/78.9       10.9 
133   Nassir Little             POR        34.60632589     13    15.3  6.6   54.1/46.4/58.3       5.1  
134   P.J. Washington           CHA        34.47853834     14    31.2  14.6  42.3/33.3/76.5       14.1 
135   Eric Gordon               HOU        34.44486911     11    30.6  12.9  45.4/36.7/81.5       10.9 
136   Josh Richardson           SAS        34.43740812     12    23.2  11.2  42.7/40.0/85.2       9.6  
137   John Wall                 LAC        34.34594747     10    22.6  12.6  43.4/24.3/57.6       12.8 
138   Shaedon Sharpe            POR        34.33123811     12    20.8  9.0   51.8/44.4/72.7       7.5  
139   Jusuf Nurkic              POR        34.10576718     10    29.5  13.0  49.5/54.5/87.5       11.1 
140   Jaden McDaniels           MIN        34.10029275     14    29.6  11.2  56.0/36.1/75.9       8.7  
141   Zach Collins              SAS        34.05344448     9     17.7  8.3   52.5/38.9/66.7       7.0  
142   Klay Thompson             GSW        34.0222777      11    28.6  14.7  35.1/33.0/75.0       15.8 
143   Corey Kispert             WAS        34.01590995     6     24.2  8.8   55.9/44.4/87.5       6.3  
144   Yuta Watanabe             BKN        33.95768144     10    16.0  5.6   59.5/54.5/0.0        3.8  
145   Andre Drummond            CHI        33.82309223     8     16.8  8.6   54.7/0.0/73.3        7.5  
146   Tyus Jones                MEM        33.72831374     14    23.3  10.9  45.0/34.5/61.5       10.4 
147   James Wiseman             GSW        33.63845062     10    13.8  7.3   60.4/0.0/65.2        5.8  
148   Isaiah Jackson            IND        33.50161691     12    18.4  8.6   61.5/0.0/69.7        6.6  
149   Jalen Suggs               ORL        33.34337814     8     28.8  13.0  45.9/27.8/61.5       12.1 
150   Ayo Dosunmu               CHI        32.96437567     13    30.3  11.7  48.8/35.3/92.3       10.1 
151   Keita Bates-Diop          SAS        32.38161762     12    12.2  6.7   50.8/28.6/84.2       5.6  
152   Clint Capela              ATL        32.31428683     13    27.1  10.8  58.3/0.0/58.3        9.1  
153   R.J. Hampton              ORL        32.29464584     11    15.2  6.5   52.2/55.0/92.9       4.7  
154   Rui Hachimura             WAS        32.26118372     14    23.5  11.3  46.0/30.0/72.4       10.8 
155   Taurean Prince            MIN        32.20819258     14    19.8  8.2   50.0/42.2/93.3       6.3  
156   Scottie Barnes            TOR        32.13245935     13    31.9  13.8  43.1/33.3/72.0       13.7 
157   Isaiah Stewart            DET        32.10915363     14    28.1  12.2  47.4/30.8/73.4       10.2 
158   Dewayne Dedmon            MIA        32.03000837     11    12.1  5.8   54.8/38.5/81.3       4.5  
159   Terrence Ross             ORL        32.00271505     12    26.8  10.2  46.1/42.3/66.7       8.8  
160   Jalen Smith               IND        31.87671889     12    23.8  11.0  44.2/32.7/66.7       10.3 
161   Daniel Gafford            WAS        31.69473976     14    14.7  5.9   72.7/0.0/62.1        4.1  
162   Terence Davis             SAC        31.62201026     11    12.6  6.4   43.4/33.3/85.7       5.4  
163   Norman Powell             LAC        31.58347053     13    25.3  11.9  43.4/30.4/76.3       11.2 
164   John Collins              ATL        31.58293978     13    31.4  12.4  50.4/25.0/93.3       10.5 
165   Jock Landale              PHX        31.38626453     12    15.5  7.8   50.0/13.0/79.2       6.9  
166   Mike Muscala              OKC        31.14004533     11    13.8  7.1   43.5/32.5/78.6       6.2  
167   Jordan Goodwin            WAS        31.12653616     8     18.9  6.9   55.0/53.3/75.0       5.2  
